Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618829675.24563,370.0625,15883,5,112.18
1618829677.96413,369.875,15910,5,112.316
1618829680.64246,369.6875,15937,5,112.541
1618829683.35192,369.5625,15963,5,112.674
1618829686.04484,369.4375,15990,5,112.894
1618829688.73607,369.1875,16017,5,113.033
1618829691.44452,369.0625,16044,5,113.251
1618829694.11914,368.875,16070,5,113.387
1618829696.77121,368.75,16096,5,113.582
1618829699.4104,368.5625,16123,5,113.746
1618829702.06818,368.4375,16149,5,113.99
1618829704.77947,368.25,16175,5,114.124
1618829707.46141,368.125,16202,5,114.314
1618829710.18863,367.9375,16230,5,114.477
1618829712.85584,367.75,16256,5,114.621
1618829715.56223,367.625,16282,5,114.828
1618829718.26265,367.4375,16309,5,114.992
1618829720.94148,367.3125,16336,5,115.202
1618829723.58958,367.125,16363,5,115.366
1618829726.23322,367,16388,5,115.506
1618829728.88433,366.8125,16414,5,115.725
1618829731.52953,366.6875,16441,5,115.893
1618829734.17916,366.5,16466,5,116.026
1618829736.83423,366.375,16493,5,116.17
1618829739.5445,366.1875,16520,5,116.335
1618829742.21714,366,16547,5,116.534
1618829744.8721,365.875,16572,5,116.698
1618829747.57091,365.6875,16599,5,116.903
1618829750.27937,365.5,16626,5,117.065
1618829752.94906,365.375,16653,5,117.209
1618829755.60421,365.25,16679,5,117.439
1618829758.25764,365.0625,16705,5,117.575
1618829760.98397,364.9375,16732,5,117.807
1618829763.64456,364.75,16759,5,117.941
1618829766.29271,364.5625,16785,5,118.092
1618829768.939,364.4375,16811,5,118.27
1618829771.59254,364.3125,16838,5,118.471
1618829774.28004,364.125,16863,5,118.604
1618829776.93509,363.9375,16890,5,118.851
1618829779.65184,363.8125,16917,5,118.985
1618829782.33135,363.625,16944,5,119.152
1618829785.04094,363.4375,16970,5,119.292
1618829787.74715,363.3125,16997,5,119.468
1618829790.42509,363.1875,17024,5,119.605
1618829793.14111,363,17051,5,119.866
1618829795.8118,362.8125,17077,5,120.008
1618829798.4518,362.6875,17103,5,120.169
1618829801.10798,362.5,17130,5,120.317
1618829803.75672,362.375,17156,5,120.546
1618829806.39714,362.1875,17182,5,120.677
1618829809.05359,362.0625,17208,5,120.84
1618829811.75709,361.875,17235,5,121.061
1618829814.45721,361.75,17262,5,121.229
1618829817.15387,361.5625,17288,5,121.365
1618829819.84792,361.4375,17315,5,121.498
1618829822.54387,361.25,17342,5,121.719
1618829825.24838,361.0625,17368,5,121.869
1618829827.92426,360.9375,17395,5,122.049
1618829830.57414,360.75,17421,5,122.186
1618829833.21234,360.625,17448,5,122.435
1618829835.86833,360.4375,17473,5,122.567
1618829838.51506,360.3125,17500,5,122.776
1618829843.80379,360,17553,5,123.073
1618829846.45585,359.8125,17578,5,123.263
1618829849.10871,359.6875,17605,5,123.396
1618829851.81701,359.5625,17632,5,123.629
1618829854.50693,359.375,17659,5,123.765
1618829857.21637,359.25,17685,5,123.934
1618829859.90039,359.0625,17712,5,124.112
1618829862.60744,358.875,17739,5,124.294
1618829865.28556,358.75,17764,5,124.429
1618829867.9388,358.625,17791,5,124.673
1618829870.64196,358.4375,17818,5,124.811
1618829873.34584,358.25,17845,5,124.983
1618829876.02856,358.125,17871,5,125.128
1618829878.73985,357.9375,17898,5,125.372
1618829881.4328,357.8125,17925,5,125.506
1618829884.12415,357.625,17952,5,125.639
1618829886.83776,357.5,17978,5,125.8
1618829889.51275,357.3125,18005,5,126.01
1618829892.22607,357.1875,18032,5,126.146
1618829894.91425,357.0625,18059,5,126.37
1618829897.61142,356.875,18085,5,126.506
1618829900.30709,356.75,18112,5,126.664
